key,value,timestamp,step,is_nan,run_uuid
average_expected_price,510.16297280401494,1752939379609,0,0,0cb0064b1237412c977d67f36929f13b
conf_interval_low,505.49718023287465,1752939382447,0,0,0cb0064b1237412c977d67f36929f13b
conf_interval_high,515.1541114747848,1752939382481,0,0,0cb0064b1237412c977d67f36929f13b
expected_price,352.2697448730469,1752939396132,0,0,afa91523627f4d929c3e14ff347d8bc7
average_expected_price,400.3655700683594,1752939396162,0,0,afa91523627f4d929c3e14ff347d8bc7
num_rows,753.0,1752939419088,0,0,d4fce7e8413f47ca9e750574c93ae5b0
num_columns,2.0,1752939419116,0,0,d4fce7e8413f47ca9e750574c93ae5b0
average_expected_price,510.0411983805356,1752939420087,0,0,55f0d34c15fe4b4ca67d36fc4124db1d
conf_interval_low,505.3542410536338,1752939422766,0,0,55f0d34c15fe4b4ca67d36fc4124db1d
conf_interval_high,514.608025836409,1752939422810,0,0,55f0d34c15fe4b4ca67d36fc4124db1d
expected_price,466.6787109375,1752939434178,0,0,63fb591d74c84571b59eea6b9a110511
average_expected_price,480.24169921875,1752939434211,0,0,63fb591d74c84571b59eea6b9a110511
num_rows,1256.0,1752940009136,0,0,8707219f73044cdfa4420e9efc4ddd32
num_columns,2.0,1752940009172,0,0,8707219f73044cdfa4420e9efc4ddd32
average_expected_price,211.19071506740553,1752940010613,0,0,2242a7e410334107adfeeb2adfdbc6e3
conf_interval_low,208.9658204280762,1752940012701,0,0,2242a7e410334107adfeeb2adfdbc6e3
conf_interval_high,213.5875988407607,1752940012746,0,0,2242a7e410334107adfeeb2adfdbc6e3
expected_price,153.20675659179688,1752940028564,0,0,0bfd4cf6ad3941ecba61bbd88589a657
average_expected_price,176.30776977539062,1752940028595,0,0,0bfd4cf6ad3941ecba61bbd88589a657
num_rows,1256.0,1752940051045,0,0,9cef754037004d298df80867495f49e3
num_columns,2.0,1752940051086,0,0,9cef754037004d298df80867495f49e3
average_expected_price,211.15564479659673,1752940052028,0,0,9ffa304174ad4194be7297ac1bf90d4d
conf_interval_low,208.89668110099382,1752940054434,0,0,9ffa304174ad4194be7297ac1bf90d4d
conf_interval_high,213.17370170624127,1752940054469,0,0,9ffa304174ad4194be7297ac1bf90d4d
expected_price,290.0286865234375,1752940074041,0,0,ace8986cce644e44a86750e9363d9e15
average_expected_price,251.32342529296875,1752940074075,0,0,ace8986cce644e44a86750e9363d9e15
num_rows,1256.0,1752940096506,0,0,063a61bf9fbb47dc87c09e37a32ba056
num_columns,2.0,1752940096539,0,0,063a61bf9fbb47dc87c09e37a32ba056
average_expected_price,211.15299893552742,1752940097495,0,0,c9c808c10fa04a719b997d6ec48dcd67
conf_interval_low,209.06729397689026,1752940099687,0,0,c9c808c10fa04a719b997d6ec48dcd67
conf_interval_high,213.3793369197057,1752940099726,0,0,c9c808c10fa04a719b997d6ec48dcd67
expected_price,157.18063354492188,1752940116682,0,0,b1c18a83fd184514b23ae587a97045ff
average_expected_price,180.1580047607422,1752940116715,0,0,b1c18a83fd184514b23ae587a97045ff
num_rows,1256.0,1752940139285,0,0,0c30d2f79822458e8a033ca7f664bc4b
num_columns,2.0,1752940139322,0,0,0c30d2f79822458e8a033ca7f664bc4b
average_expected_price,211.21070032587195,1752940140264,0,0,aca2b5b9e4c8403a86c119ba093ebbe8
conf_interval_low,209.15748973276374,1752940142711,0,0,aca2b5b9e4c8403a86c119ba093ebbe8
conf_interval_high,213.31578931390166,1752940142750,0,0,aca2b5b9e4c8403a86c119ba093ebbe8
expected_price,182.3466339111328,1752940160352,0,0,0593ce9be9b24548b4aa4c72eb041420
average_expected_price,194.1103515625,1752940160385,0,0,0593ce9be9b24548b4aa4c72eb041420
num_rows,1256.0,1752940185007,0,0,f2525acc15e7405ba41228b29d1380cb
num_columns,2.0,1752940185050,0,0,f2525acc15e7405ba41228b29d1380cb
average_expected_price,211.2232327034799,1752940186077,0,0,0b2258b261b3491d949fbf11992f57b9
conf_interval_low,208.91174225728813,1752940186500,0,0,0b2258b261b3491d949fbf11992f57b9
conf_interval_high,213.45301493973332,1752940186539,0,0,0b2258b261b3491d949fbf11992f57b9
expected_price,271.58355712890625,1752940206388,0,0,718db9cff421433aa79f8b2ab0e475c7
average_expected_price,245.79669189453125,1752940206421,0,0,718db9cff421433aa79f8b2ab0e475c7
num_rows,1256.0,1752940229054,0,0,7e0c0bb888a343a78f98783915b69ed4
num_columns,2.0,1752940229089,0,0,7e0c0bb888a343a78f98783915b69ed4
average_expected_price,211.12339333558944,1752940230123,0,0,6cb98d95155047718682cef61981aa96
conf_interval_low,208.70743768629353,1752940232490,0,0,6cb98d95155047718682cef61981aa96
conf_interval_high,213.40900124538857,1752940232531,0,0,6cb98d95155047718682cef61981aa96
expected_price,216.35446166992188,1752940250081,0,0,f2e11bc8f10b445a88fbd8b86620dd9c
average_expected_price,213.72308349609375,1752940250112,0,0,f2e11bc8f10b445a88fbd8b86620dd9c
num_rows,1256.0,1752940273617,0,0,b088513549ef4ca0ad03a7fe677b483c
num_columns,2.0,1752940273658,0,0,b088513549ef4ca0ad03a7fe677b483c
average_expected_price,211.16978182668458,1752940274657,0,0,ce034a0e3d434645970af5677c2e9210
conf_interval_low,208.97815420640575,1752940277083,0,0,ce034a0e3d434645970af5677c2e9210
conf_interval_high,213.35572137647816,1752940277128,0,0,ce034a0e3d434645970af5677c2e9210
expected_price,243.48086547851562,1752940294993,0,0,34da8c2909b245aeb27ced5939e4f1d6
average_expected_price,228.06076049804688,1752940295025,0,0,34da8c2909b245aeb27ced5939e4f1d6
num_rows,1256.0,1752940317613,0,0,3e4d12fd8ffd4b6780ac5c720b949cd4
num_columns,2.0,1752940317652,0,0,3e4d12fd8ffd4b6780ac5c720b949cd4
average_expected_price,211.2042263167167,1752940318721,0,0,a2470eb745e04755ba8cf407a1d6609a
conf_interval_low,208.92178943532411,1752940321142,0,0,a2470eb745e04755ba8cf407a1d6609a
conf_interval_high,213.46242922975108,1752940321183,0,0,a2470eb745e04755ba8cf407a1d6609a
expected_price,220.1103057861328,1752940338387,0,0,3293a6242d2845a29f7fc4d64db64fd4
average_expected_price,215.6549835205078,1752940338419,0,0,3293a6242d2845a29f7fc4d64db64fd4
num_rows,1256.0,1752940361665,0,0,8b4b0e0cfc2d409d852a09f09ffc11bf
num_columns,2.0,1752940361698,0,0,8b4b0e0cfc2d409d852a09f09ffc11bf
average_expected_price,211.22366385612713,1752940362695,0,0,2696c5af603a4bf4aea22352d03c3f48
conf_interval_low,208.9521912632929,1752940365112,0,0,2696c5af603a4bf4aea22352d03c3f48
conf_interval_high,213.4283940108376,1752940365154,0,0,2696c5af603a4bf4aea22352d03c3f48
expected_price,205.7455596923828,1752940382826,0,0,db25d115419f469a9e32e234f4810f2d
average_expected_price,207.9712371826172,1752940382867,0,0,db25d115419f469a9e32e234f4810f2d
num_rows,1256.0,1752940904543,0,0,b6a2f683468645739d2007b036379b1a
num_columns,2.0,1752940904591,0,0,b6a2f683468645739d2007b036379b1a
average_expected_price,211.2717211862386,1752940906621,0,0,bb96791effb848f5b695a127af31d179
conf_interval_low,208.9431479420344,1752940908978,0,0,bb96791effb848f5b695a127af31d179
conf_interval_high,213.56658545940473,1752940909025,0,0,bb96791effb848f5b695a127af31d179
expected_price,223.6359405517578,1752940924586,0,0,b71f71c88e554ac2afb2013e7d309f4e
average_expected_price,217.56845092773438,1752940924622,0,0,b71f71c88e554ac2afb2013e7d309f4e
